data,codiEstacio,codiVariable,valor
2024-10-20,Z1,1600,0.236842105263158
2024-10-20,YN,1600,4.104166666666667
2024-10-20,XR,1600,13.636363636363637
2024-10-20,XK,1600,0.51219512195122
2024-10-20,XH,1600,34.75
2024-10-20,X5,1600,0.391304347826087
2024-10-20,DP,1600,8.5
2024-10-20,DG,1600,4.625
2024-10-20,CG,1600,10.229166666666668
2024-10-19,ZE,1600,0.3125
2024-10-19,ZC,1600,0.0
2024-10-19,ZB,1600,1.17948717948718
2024-10-19,Z9,1600,0.0
2024-10-19,Z7,1600,0.0
2024-10-19,Z6,1600,18.354166666666668
2024-10-19,Z5,1600,11.208333333333332
2024-10-19,Z3,1600,0.895833333333333
2024-10-19,Z2,1600,0.0
2024-10-19,Z1,1600,5.0
2024-10-19,YN,1600,3.791666666666667
2024-10-19,XR,1600,24.275
2024-10-19,XK,1600,0.979166666666667
2024-10-19,XH,1600,38.25
2024-10-19,X5,1600,0.083333333333333
2024-10-19,DP,1600,8.833333333333332
2024-10-19,DG,1600,4.208333333333333
2024-10-19,CG,1600,9.319148936170212
2024-10-18,ZE,1600,0.0
2024-10-18,ZC,1600,0.0
2024-10-18,ZB,1600,0.076923076923077
2024-10-18,Z9,1600,0.0
2024-10-18,Z7,1600,1.0
2024-10-18,Z6,1600,21.155555555555555
2024-10-18,Z5,1600,16.113636363636363
2024-10-18,Z3,1600,0.888888888888889
2024-10-18,Z2,1600,0.0
2024-10-18,Z1,1600,9.0
2024-10-18,YN,1600,3.222222222222222
2024-10-18,XR,1600,12.555555555555555
2024-10-18,XK,1600,0.733333333333333
2024-10-18,XH,1600,41.02222222222223
2024-10-18,X5,1600,0.044444444444444
2024-10-18,DP,1600,7.488888888888889
2024-10-18,DG,1600,2.911111111111111
2024-10-18,CG,1600,8.0
2024-10-17,ZE,1600,0.0
2024-10-17,ZC,1600,0.0
2024-10-17,ZB,1600,0.115384615384615
2024-10-17,Z9,1600,0.166666666666667
2024-10-17,Z7,1600,0.64
2024-10-17,Z6,1600,8.025
2024-10-17,Z5,1600,4.545454545454546
2024-10-17,Z3,1600,0.127659574468085
2024-10-17,Z2,1600,0.0
2024-10-17,Z1,1600,1.27906976744186
2024-10-17,YN,1600,3.361702127659574
2024-10-17,XR,1600,23.02272727272728
2024-10-17,XK,1600,0.5
2024-10-17,XH,1600,35.16666666666667
2024-10-17,X5,1600,0.595744680851064
2024-10-17,VS,1600,0.0
2024-10-17,DP,1600,7.5625
2024-10-17,DG,1600,3.458333333333333
2024-10-17,CG,1600,8.622222222222222
2024-10-16,ZE,1600,0.0
2024-10-16,ZC,1600,0.0
2024-10-16,ZB,1600,0.0
2024-10-16,Z9,1600,0.0
2024-10-16,Z7,1600,0.0
2024-10-16,Z6,1600,5.208333333333333
2024-10-16,Z5,1600,23.0
2024-10-16,Z3,1600,0.166666666666667
2024-10-16,Z2,1600,0.0
2024-10-16,Z1,1600,0.232558139534884
2024-10-16,YN,1600,3.520833333333333
2024-10-16,XR,1600,28.166666666666668
2024-10-16,XK,1600,0.2
2024-10-16,XH,1600,38.083333333333336
2024-10-16,X5,1600,0.404255319148936
2024-10-16,VS,1600,0.0
2024-10-16,DP,1600,7.666666666666667
2024-10-16,DG,1600,3.145833333333333
2024-10-16,CG,1600,8.6875
2024-10-15,ZE,1600,0.0
2024-10-15,ZC,1600,0.0
2024-10-15,ZB,1600,0.285714285714286
2024-10-15,Z9,1600,0.0
2024-10-15,Z7,1600,0.0
2024-10-15,Z6,1600,4.044444444444444
2024-10-15,Z5,1600,1.962962962962963
2024-10-15,Z3,1600,0.147058823529412
2024-10-15,Z2,1600,0.0
2024-10-15,Z1,1600,0.2
2024-10-15,YN,1600,3.4375
2024-10-15,XR,1600,21.680851063829788
2024-10-15,XK,1600,0.222222222222222
2024-10-15,XH,1600,36.85416666666666
2024-10-15,X5,1600,0.214285714285714
2024-10-15,VS,1600,0.0
2024-10-15,DP,1600,7.604166666666667
2024-10-15,DG,1600,3.1875
2024-10-15,CG,1600,8.333333333333332
2024-10-14,ZE,1600,0.0
2024-10-14,ZC,1600,0.0
2024-10-14,ZB,1600,0.4
2024-10-14,Z9,1600,0.0
2024-10-14,Z7,1600,0.0
2024-10-14,Z6,1600,4.021739130434783
2024-10-14,Z5,1600,0.357142857142857
2024-10-14,Z3,1600,0.0
2024-10-14,Z2,1600,0.0
2024-10-14,Z1,1600,0.075
2024-10-14,YN,1600,3.25
2024-10-14,XR,1600,28.08333333333333
2024-10-14,XK,1600,0.630434782608696
2024-10-14,XH,1600,38.645833333333336
2024-10-14,X5,1600,0.319148936170213
2024-10-14,VS,1600,0.0
2024-10-14,DP,1600,8.0
2024-10-14,DG,1600,2.6875
2024-10-14,CG,1600,8.104166666666668
2024-10-13,ZE,1600,0.0
2024-10-13,ZC,1600,0.022222222222222
2024-10-13,ZB,1600,0.285714285714286
2024-10-13,Z9,1600,0.0
2024-10-13,Z7,1600,0.0
2024-10-13,Z6,1600,4.558139534883721
2024-10-13,Z5,1600,1.263157894736842
2024-10-13,Z3,1600,0.038461538461538
2024-10-13,Z2,1600,0.0
2024-10-13,Z1,1600,0.125
2024-10-13,YN,1600,4.3125
2024-10-13,XR,1600,34.340425531914896
2024-10-13,XK,1600,0.131578947368421
2024-10-13,XH,1600,34.63636363636363
2024-10-13,X5,1600,0.304347826086957
2024-10-13,VS,1600,0.0
2024-10-13,DP,1600,8.76595744680851
2024-10-13,DG,1600,3.166666666666667
2024-10-13,CG,1600,7.979166666666667
2024-10-12,ZE,1600,0.0
2024-10-12,ZC,1600,0.0
2024-10-12,ZB,1600,0.638297872340426
2024-10-12,Z9,1600,0.0
2024-10-12,Z7,1600,0.0
2024-10-12,Z6,1600,5.520833333333333
2024-10-12,Z5,1600,4.545454545454546
2024-10-12,Z3,1600,0.088888888888889
2024-10-12,Z2,1600,0.0
2024-10-12,Z1,1600,0.097560975609756
2024-10-12,YN,1600,4.6875
2024-10-12,XR,1600,33.125
2024-10-12,XK,1600,0.153846153846154
2024-10-12,XH,1600,34.1875
2024-10-12,X5,1600,0.0
2024-10-12,VS,1600,0.0
2024-10-12,DP,1600,9.5625
2024-10-12,DG,1600,3.541666666666667
2024-10-12,CG,1600,7.1875
2024-10-11,ZE,1600,0.0
2024-10-11,ZC,1600,0.0
2024-10-11,ZB,1600,1.375
2024-10-11,Z9,1600,0.0
2024-10-11,Z7,1600,0.0
2024-10-11,Z6,1600,3.761904761904762
2024-10-11,Z5,1600,2.657894736842105
2024-10-11,Z3,1600,0.229166666666667
2024-10-11,Z2,1600,0.0
2024-10-11,Z1,1600,0.021276595744681
2024-10-11,YN,1600,3.6875
2024-10-11,XR,1600,31.916666666666668
2024-10-11,XK,1600,0.395833333333333
2024-10-11,XH,1600,35.97916666666667
2024-10-11,X5,1600,0.0
2024-10-11,VS,1600,0.0
2024-10-11,DP,1600,6.5
2024-10-11,DG,1600,3.479166666666667
2024-10-11,CG,1600,6.808510638297872
2024-10-10,ZE,1600,0.0
2024-10-10,ZC,1600,0.020833333333333
2024-10-10,ZB,1600,1.225
2024-10-10,Z9,1600,0.0
2024-10-10,Z7,1600,0.0
2024-10-10,Z6,1600,5.844444444444444
2024-10-10,Z5,1600,3.230769230769231
2024-10-10,Z3,1600,0.574468085106383
2024-10-10,Z2,1600,0.0
2024-10-10,Z1,1600,0.1875
2024-10-10,YN,1600,3.145833333333333
2024-10-10,XR,1600,31.39583333333333
2024-10-10,XK,1600,0.319148936170213
2024-10-10,XH,1600,31.0625
2024-10-10,X5,1600,0.041666666666667
2024-10-10,VS,1600,0.0
2024-10-10,DP,1600,7.145833333333333
2024-10-10,DG,1600,3.5625
2024-10-10,CG,1600,7.104166666666667
2024-10-09,ZE,1600,0.0
2024-10-09,ZC,1600,0.0
2024-10-09,ZB,1600,0.375
2024-10-09,Z9,1600,0.0
2024-10-09,Z7,1600,0.0
2024-10-09,Z6,1600,4.555555555555556
2024-10-09,Z5,1600,2.681818181818182
2024-10-09,Z3,1600,0.204545454545455
2024-10-09,Z2,1600,0.0
2024-10-09,Z1,1600,0.333333333333333
2024-10-09,YN,1600,3.0
2024-10-09,XR,1600,23.291666666666668
2024-10-09,XK,1600,0.0
2024-10-09,XH,1600,34.5
2024-10-09,X5,1600,0.051282051282051
2024-10-09,VS,1600,0.0
2024-10-09,DP,1600,7.347826086956522
2024-10-09,DG,1600,3.458333333333333
2024-10-09,CG,1600,6.354166666666667
2024-10-08,ZE,1600,0.0
2024-10-08,ZC,1600,0.0625
2024-10-08,ZB,1600,0.75
2024-10-08,Z9,1600,0.0
2024-10-08,Z7,1600,0.0
2024-10-08,Z6,1600,5.533333333333333
2024-10-08,Z5,1600,1.263157894736842
2024-10-08,Z3,1600,0.342857142857143
2024-10-08,Z2,1600,0.0
2024-10-08,Z1,1600,0.133333333333333
2024-10-08,YN,1600,2.854166666666667
2024-10-08,XR,1600,34.93617021276596
