codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
X9,Caldes de Montbui,A,Torre Marimon,176.0,"[{'codi': 2, 'dataInici': '2007-03-08T14:00Z', 'dataFi': None}]",41.61265,2.16836,080333,Caldes de Montbui,41,Vallès Oriental,8,Barcelona,1,XEMA
YA,Puigcerdà,A,Poliesportiu municipal,1213.0,"[{'codi': 2, 'dataInici': '2016-03-22T16:00Z', 'dataFi': None}]",42.44013,1.93482,171411,Puigcerdà,15,Cerdanya,17,Girona,1,XEMA
YB,Olot,A,Pla de Dalt,433.0,"[{'codi': 2, 'dataInici': '2016-07-21T14:30Z', 'dataFi': None}]",42.18813,2.47097,171143,Olot,19,Garrotxa,17,Girona,1,XEMA
YC,la Pobla de Segur,A,Horta de les Feixes,508.0,"[{'codi': 2, 'dataInici': '2016-11-18T12:00Z', 'dataFi': None}]",42.24388,0.96802,251713,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA
YD,les Borges Blanques,A,Escola Agrària de les Borges Blanques,283.0,"[{'codi': 2, 'dataInici': '2017-01-25T00:00Z', 'dataFi': None}]",41.51135,0.85617,250582,Les Borges Blanques,18,Garrigues,25,Lleida,1,XEMA
YE,Massoteres,A,la Creu de Massoteres,513.0,"[{'codi': 2, 'dataInici': '2017-05-17T14:30Z', 'dataFi': None}]",41.79409,1.305756,251327,Massoteres,32,Segarra,25,Lleida,1,XEMA
YF,Mont-roig del Camp,A,Plana dels Penyals,43.0,"[{'codi': 2, 'dataInici': '2017-12-20T09:30Z', 'dataFi': None}]",41.02066,0.9345,430923,Mont-roig del Camp,8,Baix Camp,43,Tarragona,1,XEMA
YG,Tírvia,A,Heliport de Tírvia,954.0,"[{'codi': 2, 'dataInici': '2018-01-11T13:00Z', 'dataFi': None}]",42.51881,1.24244,252213,Tírvia,26,Pallars Sobirà,25,Lleida,1,XEMA
YH,Pujalt,A,Observatori de Pujalt,747.0,"[{'codi': 2, 'dataInici': '2018-04-06T13:00Z', 'dataFi': None}]",41.71734,1.42403,081764,Pujalt,6,Anoia,8,Barcelona,1,XEMA
YJ,Lleida - la Femosa,A,la Gabarrera,170.0,"[{'codi': 2, 'dataInici': '2018-08-21T10:30Z', 'dataFi': None}]",41.58462,0.64172,251207,Lleida,33,Segrià,25,Lleida,1,XEMA
YK,Terrassa,A,Can Poal,313.0,"[{'codi': 2, 'dataInici': '2018-12-20T12:30Z', 'dataFi': None}]",41.55361,1.99005,082798,Terrassa,40,Vallès Occidental,8,Barcelona,1,XEMA
YL,Riudecanyes,A,els Gorgs,170.0,"[{'codi': 2, 'dataInici': '2019-02-06T11:30Z', 'dataFi': None}]",41.1227,0.96951,431270,Riudecanyes,8,Baix Camp,43,Tarragona,1,XEMA
YM,Granollers,A,Parc del Puig de les Tres Torres,210.0,"[{'codi': 2, 'dataInici': '2019-09-17T11:30Z', 'dataFi': None}]",41.60922,2.29841,080961,Granollers,41,Vallès Oriental,8,Barcelona,1,XEMA
YN,Vielha - Elipòrt,A,Elipòrt de VIelha,1027.0,"[{'codi': 2, 'dataInici': '2021-03-11T11:30Z', 'dataFi': None}]",42.6966,0.80211,252430,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA
YO,Sant Sadurní d'Anoia,A,Camp de civada entre vinyes,155.0,"[{'codi': 2, 'dataInici': '2021-05-07T11:30Z', 'dataFi': None}]",41.43531,1.79324,082401,Sant Sadurní d'Anoia,3,Alt Penedès,8,Barcelona,1,XEMA
YP,Palafrugell,A,Horts urbans,36.0,"[{'codi': 2, 'dataInici': '2021-12-02T16:00Z', 'dataFi': None}]",41.90708,3.16034,171175,Palafrugell,10,Baix Empordà,17,Girona,1,XEMA
YQ,Port de Barcelona - ZAL Prat,A,Port de Barcelona,7.0,"[{'codi': 2, 'dataInici': '2021-12-02T12:00Z', 'dataFi': None}]",41.31926,2.137,081691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA
YR,Vilanova i la Geltrú,A,Circuit de ciclisme,31.0,"[{'codi': 2, 'dataInici': '2023-04-13T13:00Z', 'dataFi': None}]",41.23575,1.73148,083073,Vilanova i la Geltrú,17,Garraf,8,Barcelona,1,XEMA
YS,Cabanes,A,Futura deixalleria,32.0,"[{'codi': 2, 'dataInici': '2024-05-13T00:00Z', 'dataFi': None}]",42.3204,2.95659,170307,Cabanes,2,Alt Empordà,17,Girona,1,XEMA
Y4,Alinyà,A,Tossal de Salamó,1162.0,"[{'codi': 2, 'dataInici': '2014-07-01T11:30Z', 'dataFi': None}]",42.17426,1.42775,259084,Fígols i Alinyà,4,Alt Urgell,25,Lleida,1,XEMA
Y5,Navata,A,Can Tries,152.0,"[{'codi': 2, 'dataInici': '2014-08-26T13:00Z', 'dataFi': None}]",42.22793,2.86295,171117,Navata,2,Alt Empordà,17,Girona,1,XEMA
Y6,Tivissa,A,-,317.0,"[{'codi': 2, 'dataInici': '2015-03-26T11:30Z', 'dataFi': None}]",41.04343,0.74032,431508,Tivissa,30,Ribera d'Ebre,43,Tarragona,1,XEMA
Y7,Port de Barcelona - Bocana Sud,A,Port de Barcelona,3.0,"[{'codi': 2, 'dataInici': '2015-04-08T12:00Z', 'dataFi': None}]",41.31725,2.16537,081691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA
Y9,Port de Barcelona - ZAL Prat (ca l'Arana),A,Port de Barcelona,4.0,"[{'codi': 2, 'dataInici': '2015-06-26T13:00Z', 'dataFi': '2021-11-30T08:00Z'}, {'codi': 1, 'dataInici': '2021-11-30T08:00Z', 'dataFi': None}]",41.31723,2.13091,081691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA
ZB,Salòria (2.451 m),A,Salòria,2451.0,"[{'codi': 2, 'dataInici': '2004-09-30T12:00Z', 'dataFi': None}]",42.51939,1.36597,250175,Alins,26,Pallars Sobirà,25,Lleida,1,XEMA
ZC,Ulldeter (2.410 m),A,Ulldeter,2410.0,"[{'codi': 2, 'dataInici': '2011-09-28T10:30Z', 'dataFi': None}]",42.42117,2.24565,171925,Setcases,31,Ripollès,17,Girona,1,XEMA
ZD,la Tosa d'Alp 2500,A,Tosa d'Alp,2478.0,"[{'codi': 2, 'dataInici': '2014-09-04T11:00Z', 'dataFi': None}]",42.32211,1.89716,170062,Alp,15,Cerdanya,17,Girona,1,XEMA
ZE,el Port del Comte (2.290 m),A,Port del Comte - Estivella,2290.0,"[{'codi': 2, 'dataInici': '2023-09-21T16:00Z', 'dataFi': None}]",42.18903,1.53098,251636,La Coma i la Pedra,35,Solsonès,25,Lleida,1,XEMA
Z1,Bonaigua (2.266 m),A,Port de la Bonaigua,2266.0,"[{'codi': 2, 'dataInici': '1997-11-06T13:00Z', 'dataFi': None}]",42.64691,0.98486,250241,Alt Àneu,26,Pallars Sobirà,25,Lleida,1,XEMA
Z2,Boí (2.535 m),A,Vall de Boí,2535.0,"[{'codi': 2, 'dataInici': '1998-11-13T00:00Z', 'dataFi': None}]",42.46602,0.88405,250432,La Vall de Boí,5,Alta Ribagorça,25,Lleida,1,XEMA
Z3,Malniu (2.230 m),A,Estany de Malniu,2230.0,"[{'codi': 2, 'dataInici': '1999-11-03T13:00Z', 'dataFi': None}]",42.46605,1.7785,170998,Meranges,15,Cerdanya,17,Girona,1,XEMA
Z4,Ulldeter (2.364 m),A,Ulldeter,2364.0,"[{'codi': 2, 'dataInici': '2000-11-08T15:00Z', 'dataFi': '2011-09-20T12:00Z'}, {'codi': 1, 'dataInici': '2011-09-20T12:00Z', 'dataFi': None}]",42.42205,2.2524,171925,Setcases,31,Ripollès,17,Girona,1,XEMA
Z5,Certascan (2.400 m),A,Certascan,2400.0,"[{'codi': 2, 'dataInici': '2000-11-11T00:00Z', 'dataFi': None}]",42.70029,1.27201,251235,Lladorre,26,Pallars Sobirà,25,Lleida,1,XEMA
Z6,Sasseuva (2.228 m),A,Sasseuva,2228.0,"[{'codi': 2, 'dataInici': '2001-09-20T11:00Z', 'dataFi': None}]",42.77011,0.73198,250313,Arres,39,Val d'Aran,25,Lleida,1,XEMA
Z7,Espot (2.519 m),A,Espot,2519.0,"[{'codi': 2, 'dataInici': '2002-03-01T17:00Z', 'dataFi': None}]",42.53412,1.05476,250827,Espot,26,Pallars Sobirà,25,Lleida,1,XEMA
Z9,Cadí Nord (2.143 m) - Prat d'Aguiló,A,Cadí Nord - Prat d'Aguiló,2143.0,"[{'codi': 2, 'dataInici': '2003-11-06T13:00Z', 'dataFi': None}]",42.29265,1.71498,251399,Montellà i Martinet,15,Cerdanya,25,Lleida,1,XEMA
