codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
D5,Barcelona - Observatori Fabra,A,Observatori Fabra,411.0,"[{'codi': 2, 'dataInici': '1995-11-03T18:00Z', 'dataFi': None}]",41.41864,2.12379,080193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA
D6,Portbou,A,Punta de l'Aucell  (zona fronterera),196.0,"[{'codi': 2, 'dataInici': '1998-03-25T16:30Z', 'dataFi': None}]",42.43515,3.16622,171387,Portbou,2,Alt Empordà,17,Girona,1,XEMA
D7,Vinebre,A,Partida de Mallols,53.0,"[{'codi': 2, 'dataInici': '1998-01-22T16:00Z', 'dataFi': None}]",41.18499,0.59376,431779,Vinebre,30,Ribera d'Ebre,43,Tarragona,1,XEMA
D8,Horta de Sant Joan,A,Les Forques,515.0,"[{'codi': 2, 'dataInici': '1998-01-28T15:30Z', 'dataFi': None}]",40.95134,0.30565,430712,Horta de Sant Joan,37,Terra Alta,43,Tarragona,1,XEMA
D9,el Vendrell,A,Instal·lacions esportives municipals,59.0,"[{'codi': 2, 'dataInici': '1999-06-11T09:00Z', 'dataFi': None}]",41.21553,1.52121,431634,El Vendrell,12,Baix Penedès,43,Tarragona,1,XEMA
H1,Òdena,A,Aeròdrom d'Òdena,333.0,"[{'codi': 2, 'dataInici': '1999-05-31T10:30Z', 'dataFi': None}]",41.58642,1.65306,081430,Òdena,6,Anoia,8,Barcelona,1,XEMA
J5,Pantà de Darnius - Boadella,A,Presa del Pantà de Darnius - Boadella,158.0,"[{'codi': 2, 'dataInici': '1996-01-05T08:10Z', 'dataFi': None}]",42.34215,2.83423,170600,Darnius,2,Alt Empordà,17,Girona,1,XEMA
KE,Pantà de Sau,A,Central hidroelèctrica de Sau,426.0,"[{'codi': 2, 'dataInici': '1996-01-05T07:15Z', 'dataFi': None}]",41.96867,2.41404,083036,Vilanova de Sau,24,Osona,8,Barcelona,1,XEMA
KP,Fogars de la Selva,A,Can Simó,36.0,"[{'codi': 2, 'dataInici': '1996-01-05T07:10Z', 'dataFi': None}]",41.73894,2.69436,080826,Fogars de la Selva,34,Selva,17,Girona,1,XEMA
KX,la Roca del Vallès - ETAP Cardedeu,A,Planta tractament d'Aigües Ter - Llobregat,156.0,"[{'codi': 2, 'dataInici': '1996-01-05T06:35Z', 'dataFi': None}]",41.61865,2.36114,081810,La Roca del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA
MQ,Cardona,A,Boca nord del túnel de desviament del Cardener,402.0,"[{'codi': 2, 'dataInici': '2003-01-16T09:55Z', 'dataFi': None}]",41.92047,1.69584,080478,Cardona,7,Bages,8,Barcelona,1,XEMA
MR,Pantà de Siurana,A,Pantà de Siurana - Xalet del Pantà,500.0,"[{'codi': 2, 'dataInici': '2010-11-08T00:00Z', 'dataFi': None}]",41.25079,0.9106,430496,Cornudella de Montsant,29,Priorat,43,Tarragona,1,XEMA
MS,Castellar de n'Hug - el Clot del Moro,A,Aforament Castellar de n'Hug,938.0,"[{'codi': 2, 'dataInici': '2010-01-26T16:15Z', 'dataFi': '2011-06-01T00:00Z'}, {'codi': 1, 'dataInici': '2011-06-01T00:00Z', 'dataFi': '2015-02-14T20:10Z'}, {'codi': 2, 'dataInici': '2015-02-14T20:10Z', 'dataFi': None}]",42.25978,1.97747,080522,Castellar de n'Hug,14,Berguedà,8,Barcelona,1,XEMA
MV,Guixers - Valls,A,Cal Teuler,845.0,"[{'codi': 2, 'dataInici': '2015-06-17T00:00Z', 'dataFi': None}]",42.13598,1.67295,251116,Guixers,35,Solsonès,25,Lleida,1,XEMA
MW,Navès,A,el Garrigar,545.0,"[{'codi': 2, 'dataInici': '2010-03-22T13:05Z', 'dataFi': '2011-05-27T23:10Z'}, {'codi': 1, 'dataInici': '2011-05-27T23:10Z', 'dataFi': '2015-07-28T00:00Z'}, {'codi': 2, 'dataInici': '2015-07-28T00:00Z', 'dataFi': None}]",42.00707,1.65239,251462,Navès,35,Solsonès,25,Lleida,1,XEMA
M6,Sant Joan de les Abadesses,A,Agrupació Esportiva del Ripollès,730.0,"[{'codi': 2, 'dataInici': '1996-01-13T12:50Z', 'dataFi': None}]",42.22189,2.2427,171674,Sant Joan de les Abadesses,31,Ripollès,17,Girona,1,XEMA
