sensor,station,distance,type_1_%,type_2_%,type_3_%,type_4_%,type_5_%,type_6_%,type_7_%,type_8_%,type_9_%,type_10_%,type_11_%,type_12_%,type_13_%,type_14_%,type_15_%,type_16_%,type_17_%,type_18_%,type_19_%,type_20_%,type_21_%,type_22_%,type_23_%,type_24_%,type_25_%,type_26_%,type_27_%,type_28_%,type_29_%,type_30_%,type_31_%,type_32_%,type_33_%,type_34_%,type_35_%,type_36_%,type_37_%,type_38_%,type_39_%,type_40_%
Embassament de Foix (Castellet i la Gornal),CY,81.96040891424946,20.73170731707317,18.170731707317074,12.926829268292684,10.487804878048781,8.292682926829269,7.1951219512195115,3.048780487804878,2.682926829268293,2.4390243902439024,2.073170731707317,1.8292682926829267,1.3414634146341464,1.2195121951219512,1.097560975609756,0.975609756097561,0.853658536585366,0.7317073170731708,0.4878048780487805,0.4878048780487805,0.4878048780487805,0.3658536585365854,0.3658536585365854,0.3658536585365854,0.3658536585365854,0.3658536585365854,0.24390243902439024,0.24390243902439024,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),C6,73.46590649132418,29.115646258503403,20.0,18.911564625850342,8.707482993197278,6.258503401360545,3.2653061224489797,2.7210884353741496,2.312925170068027,2.0408163265306123,1.6326530612244898,0.9523809523809524,0.9523809523809524,0.8163265306122449,0.6802721088435374,0.5442176870748299,0.40816326530612246,0.27210884353741494,0.13605442176870747,0.13605442176870747,0.13605442176870747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),C7,61.26939727133865,34.257748776508976,28.38499184339315,11.745513866231647,6.851549755301795,2.7732463295269167,2.2838499184339316,2.1207177814029365,1.794453507340946,1.631321370309951,1.631321370309951,1.3050570962479608,0.8156606851549755,0.8156606851549755,0.6525285481239804,0.6525285481239804,0.48939641109298526,0.48939641109298526,0.48939641109298526,0.48939641109298526,0.3262642740619902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),C8,55.26690141954262,34.53887884267631,18.625678119349008,13.381555153707053,13.200723327305605,3.25497287522604,3.074141048824593,2.8933092224231465,1.9891500904159132,1.8083182640144666,1.62748643761302,1.62748643761302,1.2658227848101267,0.5424954792043399,0.5424954792043399,0.3616636528028933,0.3616636528028933,0.3616636528028933,0.18083182640144665,0.18083182640144665,0.18083182640144665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),C9,121.02138814816072,41.78364987613543,17.836498761354253,8.092485549132949,7.679603633360858,6.193228736581338,4.211395540875309,3.633360858794385,1.7341040462427744,1.4037985136251032,1.2386457473162675,1.1560693641618496,0.9083402146985963,0.8257638315441783,0.7431874483897605,0.495458298926507,0.3303055326176713,0.3303055326176713,0.3303055326176713,0.2477291494632535,0.2477291494632535,0.2477291494632535,0.16515276630883566,0.16515276630883566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),DB,89.36432009897663,50.33557046979866,9.731543624161073,7.606263982102908,7.270693512304251,3.803131991051454,3.467561521252797,2.684563758389262,2.348993288590604,1.7897091722595078,1.7897091722595078,1.5659955257270695,1.5659955257270695,1.2304250559284116,1.006711409395973,0.7829977628635347,0.44742729306487694,0.44742729306487694,0.33557046979865773,0.33557046979865773,0.33557046979865773,0.33557046979865773,0.33557046979865773,0.22371364653243847,0.11185682326621924,0.11185682326621924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),DF,140.50296810052524,21.47937411095306,18.84779516358464,10.170697012802275,8.748221906116644,5.049786628733997,4.480796586059744,4.480796586059744,4.409672830725462,4.267425320056899,2.7738264580369845,2.1337126600284493,1.7780938833570414,1.5647226173541962,1.1379800853485065,1.1379800853485065,1.0668563300142246,0.995732574679943,0.9246088193456615,0.7823613086770981,0.7823613086770981,0.7112375533428165,0.42674253200568996,0.35561877667140823,0.2844950213371266,0.2844950213371266,0.21337126600284498,0.21337126600284498,0.21337126600284498,0.21337126600284498,0.07112375533428165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),DG,133.66742872807257,35.602094240837694,16.454749439042633,9.349289454001495,8.152580403889305,5.833956619296933,4.637247569184742,2.9169783096484667,2.692595362752431,2.393418100224383,2.094240837696335,1.2715033657442034,1.1219147344801794,1.1219147344801794,0.6731488406881078,0.6731488406881078,0.5983545250560958,0.5983545250560958,0.5983545250560958,0.5235602094240838,0.5235602094240838,0.44876589379207177,0.3739715781600598,0.3739715781600598,0.2991772625280479,0.22438294689603588,0.22438294689603588,0.14958863126402394,0.07479431563201197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),DI,19.82225143108218,56.28140703517588,10.050251256281408,9.045226130653267,6.532663316582915,5.025125628140704,4.522613065326634,2.0100502512562812,2.0100502512562812,1.507537688442211,1.507537688442211,1.0050251256281406,0.5025125628140703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),DJ,134.64581576065987,20.26726057906459,20.044543429844097,13.3630289532294,12.100965107646623,9.057164068299926,4.380103934669636,4.231625835189309,2.8210838901262063,2.1529324424647367,2.0044543429844097,1.9302152932442462,0.9651076466221231,0.8908685968819599,0.7423904974016332,0.5939123979213066,0.5196733481811433,0.5196733481811433,0.5196733481811433,0.4454342984409799,0.4454342984409799,0.4454342984409799,0.3711952487008166,0.3711952487008166,0.2969561989606533,0.14847809948032664,0.14847809948032664,0.14847809948032664,0.07423904974016332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
