aca_sensor,meteocat_station,distance
Embassament de Foix (Castellet i la Gornal),D4,170.02569654528668
Embassament de Foix (Castellet i la Gornal),D5,43.51712430559576
Embassament de Foix (Castellet i la Gornal),D6,181.6499297816247
Embassament de Foix (Castellet i la Gornal),D7,89.00289331426822
Embassament de Foix (Castellet i la Gornal),D8,117.95918143306643
Embassament de Foix (Castellet i la Gornal),D9,11.759189462554614
Embassament de Foix (Castellet i la Gornal),H1,36.74001577553553
Embassament de Foix (Castellet i la Gornal),J5,155.66873481259586
Embassament de Foix (Castellet i la Gornal),KE,101.57001315498017
Embassament de Foix (Castellet i la Gornal),KP,102.32631650240523
Embassament de Foix (Castellet i la Gornal),KX,71.74827120244913
Embassament de Foix (Castellet i la Gornal),MQ,73.93650430428042
Embassament de Foix (Castellet i la Gornal),MR,62.05972190917788
Embassament de Foix (Castellet i la Gornal),MV,97.79659522595526
Embassament de Foix (Castellet i la Gornal),M6,118.06966935343313
Embassament de Foix (Castellet i la Gornal),UA,83.47988551566823
Embassament de Foix (Castellet i la Gornal),UB,147.21989403689662
Embassament de Foix (Castellet i la Gornal),UE,151.69527918621256
Embassament de Foix (Castellet i la Gornal),UF,21.81422972926225
Embassament de Foix (Castellet i la Gornal),UG,32.77033139382108
Embassament de Foix (Castellet i la Gornal),UH,16.69087359786388
Embassament de Foix (Castellet i la Gornal),UI,112.46563458163747
Embassament de Foix (Castellet i la Gornal),UJ,38.46556235348073
Embassament de Foix (Castellet i la Gornal),UK,13.134481228408388
Embassament de Foix (Castellet i la Gornal),UM,83.14139301073483
Embassament de Foix (Castellet i la Gornal),UN,126.6906837859799
Embassament de Foix (Castellet i la Gornal),UO,121.93967484999538
Embassament de Foix (Castellet i la Gornal),UP,67.33952829336792
Embassament de Foix (Castellet i la Gornal),UQ,77.7406043156411
Embassament de Foix (Castellet i la Gornal),US,122.60493560690392
Embassament de Foix (Castellet i la Gornal),UU,105.14192130935095
Embassament de Foix (Castellet i la Gornal),UW,108.83409957293289
Embassament de Foix (Castellet i la Gornal),UX,128.44122520864113
Embassament de Foix (Castellet i la Gornal),UY,101.51871985977799
Embassament de Foix (Castellet i la Gornal),U2,157.9561371157479
Embassament de Foix (Castellet i la Gornal),U3,13.361703170734483
Embassament de Foix (Castellet i la Gornal),U4,65.95661148972873
Embassament de Foix (Castellet i la Gornal),U6,52.774212504169995
Embassament de Foix (Castellet i la Gornal),U7,105.8927237270811
Embassament de Foix (Castellet i la Gornal),U9,102.42049716217007
Embassament de Foix (Castellet i la Gornal),VA,95.76246763829981
Embassament de Foix (Castellet i la Gornal),VB,87.9087479891602
Embassament de Foix (Castellet i la Gornal),VC,102.12715867876639
Embassament de Foix (Castellet i la Gornal),VD,60.96296814364009
Embassament de Foix (Castellet i la Gornal),VH,114.22041605284637
Embassament de Foix (Castellet i la Gornal),VK,111.10078934822735
Embassament de Foix (Castellet i la Gornal),VN,114.61115116972094
Embassament de Foix (Castellet i la Gornal),VO,94.23873057053939
Embassament de Foix (Castellet i la Gornal),VP,61.71624820573671
Embassament de Foix (Castellet i la Gornal),VQ,41.59822707670277
Embassament de Foix (Castellet i la Gornal),VS,169.75500391168242
Embassament de Foix (Castellet i la Gornal),VU,47.43485133242889
Embassament de Foix (Castellet i la Gornal),VV,56.73325531211939
Embassament de Foix (Castellet i la Gornal),VX,77.1239613843969
Embassament de Foix (Castellet i la Gornal),VZ,168.57184033488983
Embassament de Foix (Castellet i la Gornal),V1,90.32524370330069
Embassament de Foix (Castellet i la Gornal),V4,106.34344596339255
Embassament de Foix (Castellet i la Gornal),V5,95.42091267371828
Embassament de Foix (Castellet i la Gornal),V8,79.52151657294289
Embassament de Foix (Castellet i la Gornal),WA,80.498498265465
Embassament de Foix (Castellet i la Gornal),WB,99.2339297308239
Embassament de Foix (Castellet i la Gornal),WD,113.35562599209052
Embassament de Foix (Castellet i la Gornal),WE,63.04807095834086
Embassament de Foix (Castellet i la Gornal),WG,103.32772635196874
Embassament de Foix (Castellet i la Gornal),WI,98.64118726130367
Embassament de Foix (Castellet i la Gornal),WJ,79.34908585529305
Embassament de Foix (Castellet i la Gornal),WK,109.290232252033
Embassament de Foix (Castellet i la Gornal),WL,58.752006160680715
Embassament de Foix (Castellet i la Gornal),WM,95.72454962919562
Embassament de Foix (Castellet i la Gornal),WN,40.82859307734933
Embassament de Foix (Castellet i la Gornal),WP,25.74032324249523
Embassament de Foix (Castellet i la Gornal),WQ,117.0546759797955
Embassament de Foix (Castellet i la Gornal),WR,71.69007111199247
Embassament de Foix (Castellet i la Gornal),WS,91.19593570621724
Embassament de Foix (Castellet i la Gornal),WT,102.09595638786078
Embassament de Foix (Castellet i la Gornal),WU,54.483301979697735
Embassament de Foix (Castellet i la Gornal),WV,110.26576660585032
Embassament de Foix (Castellet i la Gornal),WW,64.39997987688734
Embassament de Foix (Castellet i la Gornal),WX,97.58863195075565
Embassament de Foix (Castellet i la Gornal),WZ,6.148274207249842
Embassament de Foix (Castellet i la Gornal),W1,162.65710303894357
Embassament de Foix (Castellet i la Gornal),W4,13.890941846184777
Embassament de Foix (Castellet i la Gornal),W5,95.40878428932042
Embassament de Foix (Castellet i la Gornal),W8,46.0334549337899
